"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Multiple.Choice.object.2.Response","Multiple.Choice.object.2.Quantised","Random_ID"
"1",1695821719858,"27/09/2023 13:35:19",1695807319858,-4,"27/09/2023 05:35:19",144636,4,"questionnaire-xamc",NA,31896184,9431917,NA,"complete","dpankh","3XUHV3NRVQXOPEMGDB9BDMNOXDMH51","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x800","1280x651",NA,NA,0,"Attention Check 1 (Clone)",1,"ABJCIDHEGF","Passed AC2","","1","2","SUPAMT62293"
"1",1695832525624,"27/09/2023 16:35:25",1695818125624,-4,"27/09/2023 08:35:25",144636,4,"questionnaire-xamc",NA,31896245,9431923,NA,"complete","djmbpp","3PXX5PX6L3XB47VB8FQWZM0CUEIABK","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1366x768","1366x651",NA,NA,0,"Attention Check 1 (Clone)",1,"CDBEAFJGIH","Failed AC2","Passed AC1","1","2","SUPAMT35697"
"1",1695825377232,"27/09/2023 14:36:17",1695807377232,-5,"27/09/2023 04:36:17",144636,4,"questionnaire-xamc",NA,31896209,9431924,NA,"complete","zevsju","352YTHGRO1C6TVIGZ6Q18UHAXHRH4W","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x651",NA,NA,0,"Attention Check 1 (Clone)",1,"BCADJEIFHG","Passed AC2","","1","2","SUPAMT79593"
"1",1695825564830,"27/09/2023 14:39:24",1695807564830,-5,"27/09/2023 04:39:24",144636,4,"questionnaire-xamc",NA,31896297,9431952,NA,"complete","dbvzfr","3HPZF4IVNSSVAULK2L07DSO1FRXYC3","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1364x768","1346x602",NA,NA,0,"Attention Check 1 (Clone)",1,"DECFBGAHJI","Passed AC2","","1","2","SUPAMT13097"
"1",1695822080991,"27/09/2023 13:41:20",1695807680991,-4,"27/09/2023 05:41:20",144636,4,"questionnaire-xamc",NA,31896359,9431959,NA,"complete","oeamun","3TVRFO09GQEZDTPGA274XX7F7UIXLD","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1280x1024","1706x1166",NA,NA,0,"Attention Check 1 (Clone)",1,"FGEHDICJBA","Passed AC2","","1","2","SUPAMT89096"
"1",1695832886074,"27/09/2023 16:41:26",1695807686074,-7,"27/09/2023 02:41:26",144636,4,"questionnaire-xamc",NA,31896363,9431954,NA,"complete","jvuuyj","34S9DKFK79OE1YIBRB9LT3IDEUAYNI","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 1 (Clone)",1,"GHFIEJDACB","Passed AC2","","1","2","SUPAMT05446"
"1",1695822355242,"27/09/2023 13:45:55",1695807955242,-4,"27/09/2023 05:45:55",144636,4,"questionnaire-xamc",NA,31896514,9431998,NA,"complete","locbhl","3CFJTT4SXZP38DBJ7M6TBI2ZOW8I7M","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 1 (Clone)",1,"HIGJFAEBDC","Passed AC2","","1","2","SUPAMT84418"
"1",1695822382380,"27/09/2023 13:46:22",1695807982380,-4,"27/09/2023 05:46:22",144636,4,"questionnaire-xamc",NA,31896667,9432035,NA,"complete","pbhmjd","3C44YUNSI7OB68ZXBUZZK7D7WL5PDX","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x875",NA,NA,0,"Attention Check 1 (Clone)",1,"JAIBHCGDFE","Passed AC2","","1","2","SUPAMT26473"
"1",1695822689582,"27/09/2023 13:51:29",1695808289582,-4,"27/09/2023 05:51:29",144636,4,"questionnaire-xamc",NA,31896692,9432034,NA,"complete","bmhlit","3RRCEFRB7SBW2IFUZEG5MJEC24YB4M","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x651",NA,NA,0,"Attention Check 1 (Clone)",1,"IJHAGBFCED","Passed AC2","","1","2","SUPAMT38211"
"1",1695822746502,"27/09/2023 13:52:26",1695808346502,-4,"27/09/2023 05:52:26",144636,4,"questionnaire-xamc",NA,31896716,9432024,NA,"complete","qlzqvl","3137ONMDKM4AL1KY46KWWGH0V6JEGB","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x875",NA,NA,0,"Attention Check 1 (Clone)",1,"ABJCIDHEGF","Passed AC2","","1","2","SUPAMT53772"
"1",1695826415263,"27/09/2023 14:53:35",1695808415263,-5,"27/09/2023 04:53:35",144636,4,"questionnaire-xamc",NA,31896761,9432047,NA,"complete","ajsggl","3FTF2T8WLXHPNRJHB08SQ52DYZSW9L","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x651",NA,NA,0,"Attention Check 1 (Clone)",1,"CDBEAFJGIH","Failed AC2","Passed AC1","1","2","SUPAMT64920"
"1",1695823082598,"27/09/2023 13:58:02",1695808682598,-4,"27/09/2023 05:58:02",144636,4,"questionnaire-xamc",NA,31896963,9432112,NA,"rejected - time limit reached","","3EJPLAJKESF6Z3MOOGPN5Z5TPYR6Z9","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.6","414x896","414x714",NA,NA,0,"Attention Check 1 (Clone)",1,"DECFBGAHJI","Passed AC2","","1","2","SUPAMT05565"
"1",1695823102036,"27/09/2023 13:58:22",1695808702036,-4,"27/09/2023 05:58:22",144636,4,"questionnaire-xamc",NA,31896979,9432110,NA,"complete","nmmhkj","3G5F9DBFOVW5N81VJ2ROHKHNA10VHY","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 1 (Clone)",1,"EFDGCHBIAJ","Failed AC2","Passed AC1","1","2","SUPAMT53463"
"1",1695826723116,"27/09/2023 14:58:43",1695808723116,-5,"27/09/2023 04:58:43",144636,4,"questionnaire-xamc",NA,31896998,9432048,NA,"complete","zqvzay","3SUWZRL0M4C8O8VSSTBAKP4B1SH6E2","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1600x900","1600x751",NA,NA,0,"Attention Check 1 (Clone)",1,"FGEHDICJBA","Passed AC2","","1","2","SUPAMT44779"
"1",1695823376448,"27/09/2023 14:02:56",1695808976448,-4,"27/09/2023 06:02:56",144636,4,"questionnaire-xamc",NA,31897156,9432136,NA,"complete","camtlm","3K772S5NPEAOLXF9OC2EHGT1A6XHEE","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 1 (Clone)",1,"CDBEAFJGIH","Failed AC2","Passed AC1","1","2","SUPAMT29384"
"1",1695844995879,"27/09/2023 20:03:15",1695830595879,-4,"27/09/2023 12:03:15",144636,4,"questionnaire-xamc",NA,31897151,9432154,NA,"complete","gpgjfx","3K3R2QNK8H2CVNUCG0TR8HHGDHK9UY","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x875",NA,NA,0,"Attention Check 1 (Clone)",1,"GHFIEJDACB","Passed AC2","","1","2","SUPAMT59606"
"1",1695823683324,"27/09/2023 14:08:03",1695809283324,-4,"27/09/2023 06:08:03",144636,4,"questionnaire-xamc",NA,31897322,9432203,NA,"complete","abnvro","3WI0P0II67RWILFCOM3OP2DMX3TRDR","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1536x864","1536x715",NA,NA,0,"Attention Check 1 (Clone)",1,"HIGJFAEBDC","Passed AC2","","1","2","SUPAMT40465"
"1",1695823702036,"27/09/2023 14:08:22",1695809302036,-4,"27/09/2023 06:08:22",144636,4,"questionnaire-xamc",NA,31897336,9432192,NA,"complete","fymfca","3BF51CHDT19PU70FG53ZWRRXG6NH0U","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 1 (Clone)",1,"JAIBHCGDFE","Passed AC2","","1","2","SUPAMT64663"
"1",1695823733864,"27/09/2023 14:08:53",1695809333864,-4,"27/09/2023 06:08:53",144636,4,"questionnaire-xamc",NA,31897353,9432180,NA,"complete","ywycqd","","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 1 (Clone)",1,"IJHAGBFCED","Passed AC2","","1","2","SUPAMT73193"
"1",1695824097920,"27/09/2023 14:14:57",1695809697920,-4,"27/09/2023 06:14:57",144636,4,"questionnaire-xamc",NA,31897570,9432268,NA,"complete","lldbkq","3VHP9MDGRTJPA34PXV8JO7HL9F9CFK","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x907",NA,NA,0,"Attention Check 1 (Clone)",1,"BCADJEIFHG","Failed AC2","Passed AC1","1","2","SUPAMT18538"
