"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID_new"
"1",1718028937794,"10/06/2024 14:15:37",1718032537794,1,"10/06/2024 16:15:37",180348,1,"task-8tuj",NA,38154227,11220758,NA,"complete",NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 125.0.0.0","1440x900","1440x779",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"ABICHDGEF","Passed AC2",NA,"Spreadsheet1","Spreadsheet1",NA,"","","",NA,"info","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPLCM24387"
"2",1718028952703,"10/06/2024 14:15:52",1718032552703,1,"10/06/2024 16:15:52",180348,1,"task-8tuj",NA,38154227,11220758,NA,"complete",NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 125.0.0.0","1440x900","1440x779",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"ABICHDGEF","Passed AC2",NA,"Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 1","anr7sn",1,"continue","",14517.2,14500.5,14517.2,14517.2,14500.5,14517.2,1,14517.2,0,0,NA,"Click To Continue","Continue Button",3,"object-60","Task Instructions",NA,"SUPLCM24387"
"3",1718028955598,"10/06/2024 14:15:55",1718032555598,1,"10/06/2024 16:15:55",180348,1,"task-8tuj",NA,38154227,11220758,NA,"complete",NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 125.0.0.0","1440x900","1440x779",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"ABICHDGEF","Passed AC2",NA,"Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 4","spepx9",2,"continue","",2914.9,2899.8,2914.9,2914.9,2899.8,2914.9,1,2914.9,0,0,NA,"Click To Continue","Continue Button",2,"object-9","Task Instructions",NA,"SUPLCM24387"
"4",1718028985948,"10/06/2024 14:16:25",1718032585948,1,"10/06/2024 16:16:25",180348,1,"task-8tuj",NA,38154227,11220758,NA,"complete",NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 125.0.0.0","1440x900","1440x779",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"ABICHDGEF","Passed AC2",NA,"Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 2","ce2tc8",3,"continue","",30366.4999999762,30351,30366.4999999762,30366.4999999762,30351,30366.4999999762,1,30366.4999999762,0,0,NA,"Click To Continue","Continue Button",3,"object-59","Task Instructions",NA,"SUPLCM24387"
"5",1718029025914,"10/06/2024 14:17:05",1718032625914,1,"10/06/2024 16:17:05",180348,1,"task-8tuj",NA,38154227,11220758,NA,"complete",NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 125.0.0.0","1440x900","1440x779",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"ABICHDGEF","Passed AC2",NA,"Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 3","1qtc8v",4,"continue","",39982.9999999762,39967.5,39982.9999999762,39982.9999999762,39967.5,39982.9999999762,1,39982.9999999762,0,0,NA,"Click To Continue","Continue Button",2,"object-2983","Task Instructions",NA,"SUPLCM24387"
"6",1718029036797,"10/06/2024 14:17:16",1718032636797,1,"10/06/2024 16:17:16",180348,1,"task-8tuj",NA,38154227,11220758,NA,"complete",NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 125.0.0.0","1440x900","1440x779",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"ABICHDGEF","Passed AC2",NA,"Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 12","1a4vu2",5,"continue","",10898.9999999762,10883.6,10898.9999999762,10898.9999999762,10883.6,10898.9999999762,1,10898.9999999762,0,0,NA,"Click To Continue","Continue Button",2,"object-2466","Task Instructions",NA,"SUPLCM24387"
"7",1718029041730,"10/06/2024 14:17:21",1718032641730,1,"10/06/2024 16:17:21",180348,1,"task-8tuj",NA,38154227,11220758,NA,"complete",NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 125.0.0.0","1440x900","1440x779",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"ABICHDGEF","Passed AC2",NA,"Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 13","q9vwda",6,"continue","",4948.19999998808,4933,4948.19999998808,4948.19999998808,4933,4948.19999998808,1,4948.19999998808,0,0,NA,"Click To Continue","Continue Button",2,"object-2989","Task Instructions",NA,"SUPLCM24387"
"8",1718029045730,"10/06/2024 14:17:25",1718032645730,1,"10/06/2024 16:17:25",180348,1,"task-8tuj",NA,38154227,11220758,NA,"complete",NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 125.0.0.0","1440x900","1440x779",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"ABICHDGEF","Passed AC2",NA,"Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 11","oyulb7",7,"continue","",4015.09999999404,4000.60000000001,4015.09999999404,4015.09999999404,4000.60000000001,4015.09999999404,1,4015.09999999404,0,0,NA,"Click To Continue","Continue Button",2,"object-52","Task Instructions",NA,"SUPLCM24387"
"9",1718029048862,"10/06/2024 14:17:28",1718032648862,1,"10/06/2024 16:17:28",180348,1,"task-8tuj",NA,38154227,11220758,NA,"complete",NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 125.0.0.0","1440x900","1440x779",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"ABICHDGEF","Passed AC2",NA,"Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 5","8nvnao",8,"continue","",3147.29999997615,3133.39999999999,3147.29999997615,3147.29999997615,3133.39999999999,3147.29999997615,1,3147.29999997615,0,0,NA,"Click To Continue","Continue Button",2,"object-44","Task Instructions",NA,"SUPLCM24387"
"10",1718029048867,"10/06/2024 14:17:28",1718032648867,1,"10/06/2024 16:17:28",180348,1,"task-8tuj",NA,38154227,11220758,NA,"complete",NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 125.0.0.0","1440x900","1440x779",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"ABICHDGEF","Passed AC2",NA,"Spreadsheet1","Spreadsheet1",NA,"","","",NA,"info","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPLCM24387"
"1",1718359610083,"14/06/2024 10:06:50",1718363210083,1,"14/06/2024 12:06:50",180348,1,"task-8tuj",NA,38250200,11245520,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 124.0.0.0","1280x720","1283x554",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"BCADIEHFG","Passed AC2",NA,"Spreadsheet1","Spreadsheet1",NA,"","","",NA,"info","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPLCM46030"
"2",1718359613628,"14/06/2024 10:06:53",1718363213628,1,"14/06/2024 12:06:53",180348,1,"task-8tuj",NA,38250200,11245520,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 124.0.0.0","1280x720","1283x554",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"BCADIEHFG","Passed AC2",NA,"Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 1","anr7sn",1,"continue","",3296.20000009537,3282.7,3296.20000009537,3296.20000009537,3282.7,3296.20000009537,1,3296.20000009537,0,0,NA,"Click To Continue","Continue Button",3,"object-60","Task Instructions",NA,"SUPLCM46030"
"3",1718359617134,"14/06/2024 10:06:57",1718363217134,1,"14/06/2024 12:06:57",180348,1,"task-8tuj",NA,38250200,11245520,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 124.0.0.0","1280x720","1283x554",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"BCADIEHFG","Passed AC2",NA,"Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 4","spepx9",2,"continue","",3516.8,3499.7,3516.8,3516.8,3499.7,3516.8,1,3516.8,0,0,NA,"Click To Continue","Continue Button",2,"object-9","Task Instructions",NA,"SUPLCM46030"
